Bug_id,creationdate,resolutiondate
738396,2012-03-22 19:12:16 +0000,2013-06-28 13:57:54 +0000
738841,2012-03-23 23:05:08 +0000,2012-03-28 21:29:25 +0000
738985,2012-03-24 20:21:36 +0000,2012-03-28 14:43:40 +0000
739925,2012-03-28 10:12:02 +0000,2012-03-29 16:14:56 +0000
743475,2012-04-07 22:00:33 +0000,2012-04-10 15:47:10 +0000
744480,2012-04-11 17:54:53 +0000,2012-04-14 12:56:46 +0000
744541,2012-04-11 19:36:00 +0000,2012-04-18 12:22:19 +0000
744888,2012-04-12 19:12:35 +0000,2012-04-16 19:58:36 +0000
745494,2012-04-15 00:15:57 +0000,2012-04-19 14:30:28 +0000
746103,2012-04-17 11:38:14 +0000,2012-06-03 19:45:12 +0000
746855,2012-04-19 02:05:36 +0000,2012-07-27 15:56:13 +0000
746896,2012-04-19 06:47:21 +0000,2012-06-15 13:11:58 +0000
746896,2012-04-19 06:47:21 +0000,2012-06-15 13:11:58 +0000
747607,2012-04-21 05:31:34 +0000,2012-10-20 02:44:25 +0000
747607,2012-04-21 05:31:34 +0000,2012-10-20 02:44:25 +0000
747688,2012-04-22 01:31:16 +0000,2012-05-04 17:55:43 +0000
748119,2012-04-23 21:11:50 +0000,2012-05-08 01:10:11 +0000
748119,2012-04-23 21:11:50 +0000,2012-05-08 01:10:11 +0000
748764,2012-04-25 14:19:21 +0000,2012-05-02 19:42:07 +0000
748948,2012-04-25 20:59:16 +0000,2012-05-02 19:45:18 +0000
749039,2012-04-26 00:46:39 +0000,2012-05-08 01:10:27 +0000
749385,2012-04-26 21:22:04 +0000,2012-06-16 17:36:58 +0000
750066,2012-04-29 14:31:09 +0000,2012-05-04 17:55:20 +0000
750096,2012-04-29 17:08:57 +0000,2012-06-15 13:12:50 +0000
750109,2012-04-29 19:35:52 +0000,2012-05-20 20:57:15 +0000
750575,2012-05-01 01:03:57 +0000,2012-06-12 17:56:58 +0000
750820,2012-05-01 18:19:24 +0000,2012-06-15 13:12:17 +0000
750850,2012-05-01 19:39:11 +0000,2012-05-05 13:26:40 +0000
750932,2012-05-01 22:36:32 +0000,2013-08-22 20:00:13 +0000
751422,2012-05-02 23:49:11 +0000,2012-05-04 16:27:12 +0000
752038,2012-05-04 21:06:25 +0000,2012-05-30 14:42:48 +0000
752087,2012-05-04 22:50:37 +0000,2012-05-08 10:21:11 +0000
752662,2012-05-07 20:32:10 +0000,2012-05-10 14:37:14 +0000
752902,2012-05-08 14:31:43 +0000,2012-05-23 11:59:26 +0000
753162,2012-05-08 22:51:49 +0000,2012-06-21 20:05:56 +0000
753230,2012-05-09 03:30:24 +0000,2012-05-22 13:51:34 +0000
753623,2012-05-10 01:56:35 +0000,2012-05-31 13:18:44 +0000
754044,2012-05-10 21:22:31 +0000,2012-05-15 13:40:31 +0000
754044,2012-05-10 21:22:31 +0000,2012-05-15 13:40:31 +0000
754044,2012-05-10 21:22:31 +0000,2012-05-15 13:40:31 +0000
754044,2012-05-10 21:22:31 +0000,2012-05-15 13:40:31 +0000
754044,2012-05-10 21:22:31 +0000,2012-05-15 13:40:31 +0000
754044,2012-05-10 21:22:31 +0000,2012-05-15 13:40:31 +0000
754150,2012-05-11 01:49:26 +0000,2012-05-17 10:18:47 +0000
754242,2012-05-11 12:37:07 +0000,2012-05-12 17:27:04 +0000
754725,2012-05-13 22:44:54 +0000,2012-06-19 08:25:45 +0000
754989,2012-05-14 20:04:35 +0000,2012-05-24 16:36:06 +0000
754989,2012-05-14 20:04:35 +0000,2012-05-24 16:36:06 +0000
755916,2012-05-16 21:41:31 +0000,2012-05-19 01:23:14 +0000
756241,2012-05-17 20:21:40 +0000,2012-05-24 17:56:59 +0000
756581,2012-05-18 20:13:38 +0000,2012-12-04 15:26:21 +0000
756581,2012-05-18 20:13:38 +0000,2012-12-04 15:26:21 +0000
756600,2012-05-18 20:45:14 +0000,2012-05-24 17:58:41 +0000
757376,2012-05-22 10:02:08 +0000,2012-06-06 15:44:29 +0000
